Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
Tc,3s,Qs,6d,4h,0
Jd,6s,4d,9h,As,0
4d,Jh,6s,7h,9s,0
Jh,8c,5d,3h,Kd,0
Ac,Ks,9s,3s,8s,0
4s,Qc,Kc,Ac,Ad,1
8c,Ts,6s,Kd,4d,0
8d,3c,Ts,8h,Qd,1
As,5c,7c,4d,5d,1
Qd,3s,8s,Th,5c,0
9c,5c,As,4s,Ts,0
Jh,5s,7c,Qs,Qc,1
Jh,8s,4d,Tc,3d,0
2h,6d,4d,7d,Td,0
Qc,5h,6h,Ad,As,1
5c,9d,9s,Jd,6s,1
3s,7h,6s,5d,Js,0
5d,7s,Ad,7d,Js,1
3h,Kh,5h,2h,2s,1
Jd,2c,8s,Kd,5h,0
7d,2s,Kh,Js,Ad,0
7c,Jc,Jh,3h,5c,1
6d,Qc,8s,9c,Qd,1
4c,2s,2d,8h,Qh,1
5h,6h,Tc,7h,Th,1
Ah,5h,7s,8d,2s,0
5d,7h,2d,8s,As,0
Kc,2h,6s,Qh,3d,0
5d,4s,Kh,Qc,9s,4
Qc,5s,9d,7d,9s,1
9c,7h,4h,Ts,3c,0
Th,8s,Qc,3s,As,4
6d,8s,2c,Th,Td,1
4d,8h,9s,8d,Js,1
5h,Qh,3h,6d,Kd,0
Ks,5c,4c,6c,Qc,0
Ts,8c,Kh,Jc,5h,0
7s,5c,Qs,Kd,6s,0
Qc,Tc,Kd,6s,9c,0
Ah,Tc,As,2s,Qs,1
As,7c,4s,Qd,3d,0
6h,2s,9s,4d,Tc,4
9d,4c,Jc,7s,Qc,0
9d,9s,5s,8h,Th,1
Jc,3c,8d,9s,Kh,0
5c,Qs,4h,Kc,7d,0
3d,9h,Jc,Th,5d,0
2d,2h,5d,Kc,9d,1
4c,8h,7d,Kh,Ah,0
6h,7s,8c,5s,3c,0
6h,8h,Js,Tc,9c,0
Qc,4s,Kc,3c,7h,0
8h,7d,4d,2h,Kc,0
4c,5s,5d,5h,Qd,3
Jh,6s,6d,5d,As,1
Ks,6d,Ac,5h,4s,0
2d,2h,9d,Ts,5s,1
2c,Ah,8d,3s,8h,1
2h,2d,5h,Js,7c,1
2d,8c,7c,9s,3s,0
8s,3h,Js,6c,6h,1
Th,Qs,2h,7c,9h,0
5h,4h,Ah,Qc,Td,0
Tc,Ac,6h,Kh,2d,0
7d,2h,9c,4h,Jc,4
Ah,Qc,5h,Qh,3s,1
2d,6h,9d,5d,7h,0
2s,Ks,9s,Kc,Qs,1
Ks,4s,Ah,8h,Qd,0
Td,9h,Qs,Qh,8h,1
3c,Qc,6d,Jh,2h,0
Ac,Jd,Qd,8s,6d,0
9c,Kc,Jh,Jd,2s,1
9s,2d,8h,Kc,Qs,0
Jc,Qh,2d,8c,Kc,0
2h,Qd,2c,Qc,9h,2
Th,4c,9c,2s,5d,0
2s,7s,3d,7c,Ac,1
3d,8h,9c,6h,7s,4
Qh,Ad,2h,Kd,Kh,1
3c,8h,Ac,Jh,Tc,0
Kh,5c,4c,Ks,4h,2
2h,7c,Ad,6h,4s,0
6c,4s,2d,Qh,Ac,0
Ad,Ks,As,6s,Td,1
As,Jh,4s,Jc,Qs,1
As,5h,2c,3h,6c,0
Ad,8s,Ac,4d,7h,1
Ad,Jh,9s,Kh,9d,1
3c,7h,9h,2d,2c,1
2d,Th,Ts,2s,8s,2
Ah,2s,Kd,6h,Js,0
5c,Ah,2s,5d,Ac,2
Ac,2s,Qh,8c,Qc,1
5d,3s,9s,Kd,Jc,0
4s,Th,5d,6d,Tc,1
Jh,9h,Jc,Ah,9d,2
4d,Ad,8h,Tc,2s,0
4d,2s,Jc,6s,As,0
Jh,9c,Qs,Tc,2c,0
8s,7c,6s,3c,Ts,0
9h,Qh,5d,2c,8h,0
Td,8h,Th,Kc,8d,2
8h,Qc,4c,2h,5d,0
Kc,6s,Ah,4s,4c,1
9s,2h,3d,4h,Ah,0
9d,Ah,Th,6h,3h,0
Qh,3c,5h,2s,2d,1
2c,5s,6c,2d,As,1
Qh,Th,Kd,3c,3s,1
2d,Ad,2c,6d,2s,3
3h,Qc,3d,4d,Td,1
Ad,Kh,2d,Qs,7d,0
7s,Ks,Th,2h,2s,1
4c,As,8d,7c,Jd,0
Th,Qh,Qd,5s,6c,1
9s,Qd,9c,As,6c,1
Js,Kh,2h,8c,7d,0
6h,Td,Th,8d,7c,1
4s,8d,8h,4h,9s,2
2s,3d,9c,4d,6d,4
Qs,4d,Qd,7c,9h,1
Ad,9h,9c,9d,3c,3
8h,9h,Ts,Ad,Kd,0
2s,Qc,Ts,4h,4c,1
Ad,2d,Ah,5d,Jh,1
8d,Qc,Tc,Jh,2d,0
Qs,5h,5s,2c,4c,1
3h,3d,2d,7c,7d,2
Kc,Ts,5h,4h,Th,1
5h,7h,4h,2c,Qh,0
5c,Td,9d,Jd,8s,0
As,4c,5h,3s,7h,0
2d,Jd,Qd,5c,Th,0
Qc,Qs,7c,9h,Jc,1
As,5c,6d,Qc,2h,0
4c,9s,6d,Ks,3c,0
Qh,5s,4d,Jh,5c,1
Jd,8c,4d,Td,Ac,0
Kh,7h,9d,Kc,8c,1
Qd,4h,Ks,4d,6c,1
Th,Ac,3c,Jh,Jd,1
6s,4h,Kc,4s,9c,1
Tc,Td,Kc,5s,6c,1
7c,2d,5h,Ts,6d,0
Ks,9d,Ac,3c,Jc,0
Kc,4d,Ks,Tc,Kd,3
Js,7c,2c,4s,Ts,0
2s,8d,Ah,5s,7s,0
8h,7h,2h,Jc,Ac,0
6h,8d,Qd,Ts,7d,0
Tc,Ac,Kc,Ks,3c,1
Jd,8d,Ac,Ad,Th,1
Kh,Qd,8h,Qs,9s,1
4s,5h,3h,4c,Qs,1
Ks,4h,Ah,Qc,6c,0
Kc,7c,Td,Ks,Qd,1
8d,9s,2h,6d,9c,1
Js,4d,Jc,Ad,Td,1
6s,Ts,2c,8s,9s,0
Js,Qd,Td,2h,2s,1
2c,3s,Jc,Tc,3c,1
8c,6h,5h,Ts,Kh,0
2h,Tc,2c,As,3c,1
9c,Qc,2s,4h,5s,0
As,9d,Jd,8c,5s,0
6c,6d,9d,4c,3s,1
Kh,9d,Kc,5s,9s,2
Kc,6d,Td,3h,6h,1
8s,Ks,Qs,4h,Ts,0
5s,4d,3c,6d,Kd,0
7c,9d,6c,Jc,7d,1
5s,Qc,8d,Kd,Ks,1
Kc,Kd,7h,3d,Tc,1
2h,8d,4c,As,9s,0
2s,Js,8c,3c,7c,0
Jc,Ah,8c,6s,2c,0
5d,Qc,4h,3s,Jc,0
7c,4d,Ac,Qc,Ah,1
Ad,5h,9h,7c,7s,1
2h,As,Jh,5s,Ac,1
8c,Jc,Jd,4s,8h,2
5d,3c,Qs,5h,Qc,2
7h,7s,5s,Td,6c,1
Jc,3c,9c,7s,7h,1
8d,Ks,3d,Th,9c,0
8s,6h,4h,5h,Kh,0
4c,Qh,8d,4d,Kd,1
4h,5s,2h,Qh,7c,0
5h,Ks,As,3c,Kd,1
Td,6c,3c,6s,Qd,1
Qh,4s,Ah,Kd,Kh,1
6h,Js,6s,Td,4c,1
3h,Kd,8d,4d,7h,4
6c,As,Jd,Jc,2c,1
7h,3c,2s,Qh,Jd,4
Kc,As,Ah,2s,4s,1
4c,Th,6d,8s,8d,1
Qc,9c,7h,4h,7s,1
5c,Jh,Tc,Qh,3s,0
Ks,Qs,9c,4c,9h,1
6c,Jc,7d,9d,9c,1
7c,Qd,3s,2c,8s,0
9s,2h,7h,8h,6s,0
2d,Kd,5d,4h,8d,0
Ah,7c,Kc,Qs,7h,1
Qc,8d,4h,8s,3c,1
Th,Ad,4s,As,Td,2
5s,3h,8h,8s,Js,1
Qh,9d,7h,7d,3c,1
8d,Jd,8s,6c,3c,1
8d,Th,5d,Jc,7s,0
Js,7h,9c,2h,Qs,0
7c,9h,Qh,Qc,5d,1
8d,5d,6s,Td,Th,1
2c,5h,4d,6h,Ts,0
9h,2s,5s,Kc,8d,0
Qc,9h,3s,5d,8d,0
Ts,7c,Jd,Ad,Js,1
Ts,Kd,6d,8h,9h,0
4c,4h,Kc,3d,6h,1
Qs,Js,9c,6c,Jc,1
2c,Kd,5h,5c,5d,3
8s,9h,7s,Jc,Ks,0
2s,8c,9s,4c,Qc,0
6h,6s,9h,Qd,2h,1
3s,Ac,Kd,5h,7d,4
Ad,3d,6s,Ac,6c,2
Th,6d,8h,5d,7c,0
8s,4s,4h,Jd,8c,2
9c,8c,5c,3c,Kd,4
Jh,Td,7s,7d,Ac,1
5s,Kh,Ad,Kd,Kc,3
5c,Kd,7s,3d,Ks,1
As,Ah,Ac,2d,Js,3
8d,Kh,Tc,2s,Jd,0
Ac,4d,7d,Ks,6h,0
6h,9s,2s,2d,Kd,1
3c,7d,5c,Jd,9d,0
Ad,Ks,Tc,Th,5c,1
8s,Js,3h,7h,5c,0
Qc,3h,9s,As,Kd,0
7s,3h,6c,Ac,7c,1
4d,9d,Th,9h,Kh,1
Ah,9s,5d,5h,8d,1
6c,9s,5c,Ts,3d,0
7c,5d,Qc,Kd,8d,0
4d,Jh,2d,Th,8d,4
3h,6c,5c,9h,7c,4
Qc,7h,5d,3d,2h,0
Qc,Ts,Js,Jh,2d,1
4d,8d,6d,Kd,Jc,0
8h,5c,Td,8d,4h,1
4d,9s,As,5s,Jh,0
Jh,5h,4c,8h,7s,0
8s,Jc,Td,3c,3h,1
3c,Th,6h,Jc,5c,0
2c,7d,6d,3s,Th,0
7d,6d,Qs,2c,Td,0
2h,7c,9s,Qc,Jh,0
Ts,3c,7c,7d,Ks,1
3h,2s,3s,8h,Ah,1
9s,Ac,3d,8d,5h,0
6s,9s,Kd,Tc,Qc,0
Qc,3h,2c,Qh,Jh,1
4c,6h,9s,Qd,4h,1
6h,7c,6s,Th,8s,1
As,7d,9c,Qd,Jc,0
7s,Ks,6c,4c,As,0
8d,2c,Th,9h,4d,0
Qd,8c,7c,9c,Kh,0
Qd,5d,2d,8h,Td,0
9h,4s,Ks,7s,5c,0
Jd,8h,Kd,9c,Td,0
4h,Ks,Qd,6c,5s,0
8c,Qh,8s,5d,3c,1
Ad,4c,5s,7d,9h,0
As,3d,Jd,7h,6h,0
2d,2h,6s,5c,4h,1
2h,5d,3c,Jc,2c,1
Tc,Ah,Qs,Kc,Kh,1
Jh,7d,Ah,5d,Qh,0
3d,2c,7c,Ts,5d,0
Jh,5d,Ad,Ks,5c,1
6s,2d,Qc,Ac,3s,0
5d,2s,Td,Qc,3d,0
As,3d,Th,5d,4d,0
2h,9h,Qc,Tc,3c,0
4h,3s,9s,8s,9c,1
2c,Ts,5s,Js,Qs,0
5d,8d,Jd,8c,5c,2
5d,8s,9c,Th,Ac,0
6c,Jh,8d,2c,Qs,0
Ac,Td,4s,4c,2h,1
2d,9c,Ks,7s,4d,0
Qc,Qd,9h,Ah,8h,1
Qh,Th,Ts,6d,Js,1
Ts,4h,Qd,Kc,7d,0
Ad,8s,9s,4s,7s,0
4c,5c,Kd,Js,6c,0
5c,Jd,9d,8s,8d,1
Tc,9s,Qc,Th,6c,1
3h,Jh,Td,7s,Js,1
4c,4d,9s,Tc,Jh,1
Qh,5h,8d,As,5d,1
2s,8h,9h,2h,9s,2
Th,5d,3d,Ks,7d,0
As,7h,5s,8h,3d,0
2d,5d,7c,As,9h,0
4h,9h,7d,2d,Jd,0
9s,8d,Js,Qs,9d,1
3h,As,Ac,5c,5s,2
Kd,Kh,6d,Ad,Th,1
Qh,9h,7h,Kc,4s,0
5c,7c,2s,7h,Ah,1
Kd,Jh,2s,Jc,8h,1
Ks,7s,Jc,3d,Ah,0
4h,8h,6c,5s,Qd,0
Ks,2s,3d,Kd,6h,1
9h,Qs,2c,Td,7h,0
4d,As,Qd,4h,6d,1
3c,7c,Ks,5s,2c,0
3d,6d,Qs,9c,Td,0
Kd,6s,As,4c,2s,0
Js,Ad,Th,7s,5d,0
5c,6h,6c,Qc,3c,1
3d,8s,Kc,Qc,9d,0
Qs,5s,Kc,7s,Tc,0
Kh,Js,Kc,6h,3h,1
2d,Ks,8c,Jh,3d,0
Qd,Ah,Td,6s,Jc,0
3h,2d,8c,Kh,9d,0
6c,8d,9s,9c,7s,1
7c,8c,6c,Ah,3s,0
2c,Ts,Qd,3h,5c,0
7c,Qc,Ad,7h,2h,1
9c,2d,7c,8h,Th,0
Ad,Kd,Qd,Kh,Jh,1
9h,7s,Qd,5h,4c,0
2h,5d,4c,Ks,9d,0
6d,7h,8s,8c,5s,1
Tc,Kh,6s,5d,2c,0
Tc,7s,As,Qh,8d,0
Ah,4d,Kc,3s,Ad,1
7c,4d,Td,8d,6h,0
4c,Qh,2s,9s,Ac,0
Th,9h,2s,Jh,Kc,0
Jd,7c,6h,3s,5h,0
Td,Qc,3d,3h,4d,1
7d,Qh,8h,2c,Kc,0
Tc,6d,4d,7h,Kh,0
4c,6h,Js,2d,2s,1
2s,6c,Ac,5d,6d,1
8c,Ts,Qc,7c,Kc,0
9h,2s,9c,7h,Jd,1
9d,6s,5c,Ad,2s,0
8h,Kh,6c,Jh,5s,0
6c,Js,Jd,8c,7s,1
3h,9h,Ac,As,Qs,1
8s,5c,Tc,8h,Qs,1
Qs,3s,Qd,9s,6h,1
Jd,4h,Ad,As,2h,1
Ah,8c,Ts,7d,4h,0
3d,6c,8d,Ac,6s,1
Qd,5s,Qc,9c,6c,1
6h,5d,Kc,2s,Tc,4
3c,Qs,Kd,9s,9c,1
6c,7d,5c,9h,4h,0
5c,3s,8c,7c,5d,1
6h,7h,9s,2s,9c,1
7c,9c,4c,5c,6d,0
9h,Jh,8d,9c,7d,1
2c,9h,3h,Kc,Jc,0
6h,5h,Js,4c,2h,0
4h,4d,2s,7c,Qc,1
9d,4c,Ac,Jc,Td,0
8s,Qd,9h,9c,As,1
8c,2h,3h,9h,Kc,0
6d,Kh,Ad,Tc,Qc,0
7s,Ah,7h,Th,4c,1
9d,4s,9s,4d,3s,2
Qc,Ts,Ad,Js,Jd,1
7s,6c,As,Kc,2c,0
7h,Kd,Ks,8c,9s,1
6h,9s,Qc,9d,8h,1
Kd,Td,4s,Ah,Tc,1
Js,Th,Ac,2d,3c,0
Td,Qc,6d,4h,2c,0
Qs,4s,8d,4c,3d,1
7h,7s,6h,3s,4c,1
9c,9s,3h,4s,7c,1
Ks,2h,8s,Qc,6h,0
Qs,3s,9s,2d,3d,1
Qs,4d,8d,Ah,8s,1
6c,Td,Th,9d,As,1
3h,2d,8c,5s,3s,1
9c,8c,9d,5d,7h,1
5c,Js,8c,9d,7h,0
Qh,Ah,3c,Qd,8s,1
Ks,2h,Tc,Jc,9d,0
6c,Qd,8s,8d,As,1
Ad,Qh,4h,2h,Tc,0
6h,9d,2c,Td,Ad,0
3c,6c,Qh,5d,Td,0
3s,Kc,Qc,6h,Td,0
Kc,3d,Qd,Jh,Jc,1
2h,2d,4h,Qs,As,1
Ks,5h,Th,3s,8c,0
Jc,Jd,3c,Qc,2d,1
3h,6h,4s,4h,8c,1
6s,5s,8d,Ac,Ks,0
7d,3d,6d,8h,Jh,4
Ac,Td,5c,2d,6d,0
Th,9c,6d,Kd,As,4
Ks,4d,5h,2s,Tc,0
Ks,5s,As,4c,Kc,1
6c,Ad,5d,2c,9h,0
9c,8h,3s,4h,9s,1
Qh,7d,6h,7h,5s,1
3s,6s,Td,Kh,Ts,1
6h,Ac,Jh,5s,9c,0
2s,Qd,Th,6s,Jc,0
5h,7c,Qc,2h,Jc,0
3h,6s,8s,2d,9s,0
Jd,Ad,6c,7h,Js,1
2s,4c,Jd,4d,4s,3
Kc,3c,6d,9h,Qc,0
Jc,8s,Kd,2d,5h,0
Ks,8d,Tc,5h,9c,0
Qs,Kd,9s,Jc,9d,1
6c,Kc,Kd,2s,4h,1
Ad,Qc,7d,9h,As,1
4s,5s,5d,Kd,9s,1
8d,9d,9s,Ah,Qd,1
Tc,Kc,2h,Ah,8c,0
5d,Jh,Qd,Ah,5h,1
Ah,2h,6c,8c,Ks,0
Js,5d,Ad,Tc,8c,0
Ts,7c,Th,Kh,4c,1
7s,6c,As,6s,9c,1
Td,4c,8s,3d,8h,1
Qh,Ks,Ad,6c,6s,1
4h,3d,Kh,6c,5s,0
8c,Kd,Qd,Qc,2h,1
2d,2s,Ad,2c,3d,3
4h,Kc,8c,Ts,9h,0
Jc,7c,Kc,2h,Ac,0
Ah,Jd,Js,5h,Ad,2
Jh,4c,8d,Kd,Jc,1
2h,8s,Qc,9s,8h,1
8h,As,Ac,4d,Ah,3
7d,Jh,3h,Qc,3s,1
3h,9s,7h,Th,2h,0
Ts,Jd,9h,5d,8c,0
Qd,Ah,Qc,8h,7s,1
3c,Tc,Ad,7h,Kh,0
7d,8h,As,5h,5d,1
Ad,Kh,6d,4s,8s,0
8d,Kc,2h,2s,8h,2
5h,4h,6c,Qs,8d,0
Jc,8s,6h,9d,5c,0
7h,2d,2c,8s,Qc,1
5h,8d,Jc,8s,2d,1
8s,Kh,9c,6d,9h,1
Qd,7s,As,Jd,Ts,0
As,Td,Ks,Ad,9d,1
Kd,3d,Kh,Tc,6s,1
Ks,Jc,Js,5h,8d,1
2c,3d,8c,8s,7h,1
2h,5h,Tc,Kh,3d,0
8d,Th,4c,3c,9d,0
3c,Ts,3s,Js,2c,1
Qs,Jc,2c,Tc,Ts,1
Qd,Ad,Kd,9d,5d,5
6s,4h,Ac,4s,7h,1
7d,Jc,2c,3c,2d,1
4d,6s,Qc,3c,Jc,0
Qc,5c,Jd,Kc,Ts,0
6c,9c,2s,Jh,2h,1
8d,5c,Kh,8h,Qd,1
5s,3h,6h,Kd,Kh,1
Td,6c,2h,8h,2c,1
5h,8c,Ks,4c,7c,0
4s,Kc,3d,6h,Qh,0
5c,3h,9d,9c,6c,1
Js,9s,Ad,2h,Ac,1
2c,Js,Qh,3s,6h,4
Ts,8h,Js,8s,3d,1
4d,Kc,Jc,Qs,7h,0
2s,3c,7h,9s,4d,0
Ks,7c,6h,Qh,9c,0
8h,8c,2d,8d,Td,3
Tc,8h,Qh,5s,2s,0
9c,3h,Jh,Kd,Qd,0
3h,8h,Ac,Jh,8s,1
7s,Ad,Qs,7c,4d,1
Kd,Js,Jd,Qc,2s,1
6c,7c,3h,Kd,5d,0
6d,9s,7c,9h,Tc,1
8h,2c,Jh,5c,As,4
Ad,Qd,Kd,Qh,3d,1
Qd,As,Jd,3c,3h,1
9d,3h,5d,6s,2d,0
Qh,Qs,9d,6d,4d,1
3h,Qc,6c,7h,Kc,0
8s,5d,Kd,Ts,5s,1
9c,Jd,4h,3s,Jc,1
Qc,Ts,Kd,4s,7s,0
5d,Ks,3h,6d,As,0
7d,8c,5s,6s,5d,1
3h,5h,3s,Jc,6h,1
Ac,As,3h,3c,3d,6
4c,5d,7d,3s,Kd,0
6d,7h,3c,6c,2d,1
3h,Ac,Kd,5h,4s,0
2s,9d,Jd,Ad,7s,0
5s,7s,6s,4s,8d,0
9s,4d,6h,4s,Kd,1
6s,Ts,Td,3d,2c,1
5s,7h,5h,Ad,2h,1
Ks,5h,6c,5s,Js,1
2h,Ts,Qs,Kh,6h,4
Ad,4c,6c,8d,7d,0
9h,5c,8h,Qc,Qs,1
Qh,9s,Ac,2c,6c,0
7h,5s,Tc,8d,8h,1
9h,2d,6d,3d,4s,0
Ad,9c,5h,8h,Tc,0
Tc,Jd,6c,8h,6s,1
7s,Ac,8h,Td,Qc,0
7d,2s,6c,Qc,7c,1
Qh,6c,3h,Qd,9d,1
8h,Kd,8s,Jh,3h,1
2d,3s,8c,Jh,2h,1
9h,2c,4h,Ac,4c,1
Ac,3c,Ad,Tc,6d,1
Qs,4c,5h,Ad,7h,0
Js,9c,9d,Qc,5s,1
9c,Qs,7d,4d,5h,0
Ah,Qd,Tc,3c,As,1
7s,Ah,6s,Kh,4d,0
7d,4d,8h,9h,Th,0
5d,7h,Th,Ts,9d,1
9h,7d,Ah,8s,Jc,0
Qh,Ah,Kc,4h,7d,0
Ah,6h,2s,9c,Qh,0
Jd,Jc,4d,Kc,7c,1
8h,3h,7h,Th,4s,0
As,8d,2d,7s,3c,0
Jc,4d,Ts,5s,Js,1
Jh,6d,Kh,7d,Th,0
4s,2c,3d,2h,Qs,1
2h,Jc,5d,4h,8c,0
Ts,7c,Tc,3h,Kh,1
As,Ad,Qh,4h,5c,1
6c,4s,9s,Qs,As,0
7s,3s,5h,4h,Qs,0
Js,2h,4c,7s,8d,0
5h,3s,8h,Qc,Jc,0
Jd,As,8s,Ad,Ks,1
4s,4d,4c,Tc,9d,3
Tc,6h,Jd,Js,8h,1
Ks,3s,9d,4d,Kd,1
6c,2d,2s,4c,5s,1
2s,2h,5c,3d,Th,1
8s,Jc,Ts,Kc,9d,0
Ac,Jd,7h,3h,8c,0
Tc,Kd,2h,3d,7c,0
7c,Qh,Th,4c,2s,0
Jd,9s,Js,Tc,4c,1
Ah,Qh,Tc,Qc,Qd,3
9d,2s,8c,2d,Jh,1
3h,6c,7h,3c,7c,2
Js,6h,9c,7c,4c,0
7s,Td,9d,4h,5h,0
8c,6d,Td,4s,4c,1
6h,5s,9d,Ks,Qs,0
2h,Js,Ah,Kc,7c,0
5d,3s,7s,Ts,4d,0
6s,Qh,8h,8s,5h,1
9d,Jh,9s,6c,3h,1
5d,Kh,Qc,Qh,9c,1
Ts,Td,5h,Jc,4c,1
Kc,5c,Jd,Ad,8c,0
Td,8c,2h,Ac,6s,0
9s,Ac,6d,8d,2s,0
As,8s,Ah,Qc,6s,1
8s,3d,2s,Ts,5h,0
4h,Kd,5d,Kc,Jd,1
9d,Qc,8s,3s,5h,0
7s,9d,9h,8c,8s,2
9c,Qh,Ad,6c,Kh,4
7c,Jc,Kc,5c,2c,5
Qd,Jd,6d,Td,5h,0
Qc,8c,9h,2c,7d,0
Kh,7d,4c,2d,8h,0
Ks,9d,Kd,Jc,6h,1
Qc,4s,9h,Kh,Qh,1
5h,6d,9h,3c,6s,1
Qc,2s,Kd,7s,8h,0
Kc,3s,Qs,4c,Td,0
Js,3c,4h,6s,Kd,0
8d,3c,8s,5s,6s,1
Qd,2h,5d,Js,6h,0
8c,Qd,Kh,Ah,8s,1
4d,2s,Js,2c,Th,1
9d,2h,Qd,5s,6c,0
Ad,4c,4s,9d,8s,1
2c,6h,Qh,4s,7h,0
Ac,5d,3s,6s,5c,1
7c,Qc,3c,6h,6d,1
Ks,Tc,7h,8c,7c,1
Jh,Js,5c,7d,8h,1
8c,Tc,9d,5h,6h,0
Th,3h,3c,Ts,Kd,2
6c,4s,3h,5c,7c,0
9d,Jh,5h,8d,4h,0
Ah,9s,4s,Th,Qd,0
Qs,Ks,Ah,2d,Ad,1
Qc,Js,4h,7s,7h,1
Jd,4d,Kh,Tc,Jc,1
7h,5c,3d,Ts,2d,0
4h,7c,9c,Qs,9s,1
9s,9c,Kd,2s,4s,1
6h,Kc,Ad,7d,7s,1
6c,Jd,7d,8h,8d,1
Qd,7s,Qc,5c,Qs,3
Jd,4s,9h,9c,8d,1
7c,8d,3c,3d,Jh,1
Ks,7d,Jd,4c,5d,0
9d,Qd,9h,5s,Tc,1
Qs,Ac,Jh,7s,6c,0
Td,6h,2h,Jd,Qs,0
Kc,Ts,2d,4d,9h,0
5s,4d,7h,Kc,Qh,0
Ad,8d,9s,2c,Td,0
Qs,Td,Js,5c,Jh,1
3s,5d,6h,Qd,Th,0
5c,2d,8c,3d,Ts,0
6s,Js,Ks,4d,2h,0
2h,Qs,Ts,3s,7d,0
Qd,5d,Jc,6h,2c,0
4d,Ad,2h,Kh,Qd,0
Th,2d,9s,Ks,3d,0
Qc,7s,5d,5s,4s,1
Kd,Kh,2c,6c,7s,1
2d,2s,7c,7h,Ah,2
Jc,3c,Jd,Tc,9c,1
9c,Tc,4c,6h,5s,0
5h,Ac,5s,As,Ah,6
Th,Qc,4h,8h,4c,1
5s,8d,2c,Kd,Th,0
Ac,6s,9c,9h,Qs,1
2d,4c,2h,9s,Qs,1
4s,Jh,Js,Qd,Ts,1
Ts,8c,Kh,5c,4d,0
Ad,9s,5d,Qc,7s,0
Ah,3d,8d,9c,2c,0
9s,6s,8s,Ks,6c,1
6h,3s,Ah,Tc,6d,1
2s,6d,7s,9h,3h,0
Ah,6d,As,7c,2c,1
8c,3h,Jc,8h,Kc,1
3c,Qd,4h,3s,Js,1
As,9h,5c,Tc,4c,0
2h,Ts,7h,7d,2s,2
2d,7c,6s,6h,7d,2
4c,6h,8d,7s,Kd,0
4c,Td,5h,7d,5d,1
Kc,Ah,Js,5d,2s,0
Jh,Js,Qh,4d,5c,1
Jc,8h,2c,Ks,5c,0
2s,7d,Ac,3h,Th,0
2s,9c,Js,Ah,As,1
4h,Qs,3h,Jc,Ac,0
Ah,6d,Jh,As,4s,1
5c,Kh,7h,9d,Ac,0
3h,Ac,2s,Qc,Tc,0
9s,8c,Jc,Jd,6s,1
2c,Th,7d,6c,8s,0
9d,3s,4d,8c,9c,1
3d,Kc,8s,Kd,7s,1
7c,Jc,9s,8d,Kd,0
5d,Jc,5c,Qc,As,1
6s,Th,7d,9c,5h,0
5d,Qc,5s,7s,3c,1
5c,6h,Qc,7d,Qd,1
6h,5d,As,Kh,5h,1
2s,8s,3c,7s,4h,0
Kd,2s,Kc,4s,Jc,1
Ts,2d,9c,Ks,Qh,0
3h,Qh,6h,8c,7d,4
Ah,Kd,3d,Qh,Kc,1
Kd,8c,3h,5d,Td,0
Ks,9s,9c,7h,Td,1
7s,5s,8h,2c,5d,1
Ks,Ad,5h,Jc,2s,0
8d,4s,7s,5d,4h,1
Ad,7h,2h,4h,Qh,0
6h,7d,Qs,Js,6d,1
6c,4c,Ac,8s,4h,1
4h,7s,4s,3d,As,1
9s,3s,Qd,As,4h,0
Jh,4s,9d,Ah,6h,0
Js,Jc,7c,3s,7h,2
9s,Qh,5d,5s,5c,3
Ks,8c,7h,5h,9h,0
Qh,9s,Td,2s,Th,1
7c,3d,Kd,5h,6d,0
8h,9c,9s,6d,3d,1
2s,9c,Qh,9d,Ah,1
4s,Ad,Qd,3c,2h,0
8c,Kh,8s,Tc,2h,1
4d,7c,Jh,6c,3c,0
2d,Ks,Qh,4c,8d,0
9h,Jd,9d,3h,Jc,2
8c,Js,9c,9h,Kh,1
6s,Qs,9c,5h,7h,0
4c,Qh,8s,Ac,Kh,0
2h,Qs,6h,Kc,Qh,1
4s,8h,3h,Ts,8c,1
4s,2h,7d,3s,6d,0
2d,2h,5h,6c,3c,1
5d,Kh,5c,Ah,3c,1
Ks,8s,Ac,5d,3h,0
3c,Js,Kd,Td,3d,1
Ac,8s,Qs,6h,9c,0
As,8s,9s,4h,6s,0
Qd,9c,6d,Kc,Kd,1
Qs,4h,3s,Qd,Th,1
3s,Jh,6c,3h,3c,3
Jc,2d,6c,9c,7d,0
7h,Jd,4s,2s,Ad,0
7s,7d,4h,6s,2s,1
7s,9c,8h,6s,5s,0
4s,Ah,Jc,Qs,3h,0
2s,7d,7c,Ah,Jh,1
8d,8h,Qc,4d,Ts,1
9h,8h,3s,Jh,3d,1
Kd,Qd,8d,2c,Kc,1
3d,Kd,6d,9c,6c,1
Kc,Qd,5d,7c,6s,0
2c,6d,2d,7d,Ts,1
Jh,8s,2s,6s,7h,0
Kd,3c,9c,Tc,Kc,1
As,Jd,9h,6h,3h,0
3c,9c,Td,Qc,5c,0
4s,3d,5d,Ac,4h,1
3h,2d,3c,8c,4h,1
Th,Jh,9h,Tc,5c,1
6s,2h,Ac,7s,Qs,0
2s,Jd,6d,3h,7c,0
6s,Tc,Qh,5d,Kd,0
2h,7c,3d,5d,Qs,0
Jd,4s,6d,9d,Ks,0
Qh,Qd,3h,4c,Ad,1
2c,Ad,Qs,4s,5d,0
Ks,Qh,Jc,6h,Th,0
